Name,Year,Gender,Link,Cast,Directors,Description
Zona de riesgo,2021,Ciberpunk,https://www.netflix.com/ar/title/81074110,"En un futuro cercano, envían a un piloto de drones a una zona de guerra y lo asignan a un comandante androide ultrasecreto con la misión de impedir un ataque nuclear.","Anthony Mackie,Damson Idris,Emily Beecham","En un futuro cercano, envían a un piloto de drones a una zona de guerra y lo asignan a un comandante androide ultrasecreto con la misión de impedir un ataque nuclear."
Monarca,2019,Series mexicanas,https://www.netflix.com/ar/title/80211572,"A pedido de su padre y tras veinte años de ausencia, Ana María regresa a México y toma las riendas del imperio tequilero de su familia, sumido en secretos y corrupción.","Irene Azuela,Juan Manuel Bernal,Osvaldo Benavides","A pedido de su padre y tras veinte años de ausencia, Ana María regresa a México y toma las riendas del imperio tequilero de su familia, sumido en secretos y corrupción."
El mundo oculto de Sabrina,2018,Series basadas en cómics,https://www.netflix.com/ar/title/80223989,"La magia y las travesuras marcan el rumbo de Sabrina, una adolescente de doble naturaleza que se debate entre el mundo de los mortales y el que se oculta debajo.","Kiernan Shipka,Ross Lynch,Miranda Otto","La magia y las travesuras marcan el rumbo de Sabrina, una adolescente de doble naturaleza que se debate entre el mundo de los mortales y el que se oculta debajo."
13 Reasons Why,2017,Misterios para TV,https://www.netflix.com/ar/title/80117470,El adolescente Clay Jensen se halla en medio de una serie de misterios desgarradores accionados por el trágico suicidio de una de sus amigas.,"Dylan Minnette,Katherine Langford,Alisha Boe",El adolescente Clay Jensen se halla en medio de una serie de misterios desgarradores accionados por el trágico suicidio de una de sus amigas.
Selena: La serie,2020,TV para ver en familia,https://www.netflix.com/ar/title/81022733,"Esta es la historia de Selena y la familia Quintanilla, desde el inicio de su sueño musical en la cochera de su casa hasta convertirse en la reina de la música tex-mex.","Christian Serratos,Gabriel Chavarria,Ricardo Chavira","Esta es la historia de Selena y la familia Quintanilla, desde el inicio de su sueño musical en la cochera de su casa hasta convertirse en la reina de la música tex-mex."
El desorden que dejas,2020,Misterios para TV,https://www.netflix.com/ar/title/81033361,Una profesora se ve atormentada por una muerte sospechosa que ocurrió hace poco en el instituto donde acaba de empezar a trabajar... y comienza a temer por su vida.,"Inma Cuesta,Bárbara Lennie,Tamar Novas",Una profesora se ve atormentada por una muerte sospechosa que ocurrió hace poco en el instituto donde acaba de empezar a trabajar... y comienza a temer por su vida.
La peor bruja,2017,TV infantil,https://www.netflix.com/ar/title/80130521,"Luego de toparse con una escuela para brujas, una torpe heroína se da cuenta de que quizás este sea su lugar en el mundo. Basada en las famosas novelas de Jill Murphy.","Bella Ramsey,Lydia Page,Clare Higgins","Luego de toparse con una escuela para brujas, una torpe heroína se da cuenta de que quizás este sea su lugar en el mundo. Basada en las famosas novelas de Jill Murphy."
Bob Esponja: Al rescate,2020,Películas familiares,https://www.netflix.com/ar/title/81312563,"Cuando alguien rapta a Gary, Bob Esponja y Patricio se embarcan en una alocada misión muy lejos de Fondo de Bikini para rescatar a su fiel amigo caracol.","Tom Kenny,Bill Fagerbakke,Rodger Bumpass","Cuando alguien rapta a Gary, Bob Esponja y Patricio se embarcan en una alocada misión muy lejos de Fondo de Bikini para rescatar a su fiel amigo caracol."
Siente el ritmo,2020,Películas familiares,https://www.netflix.com/ar/title/80994878,"Tras arruinar una audición en Broadway, una bailarina egocéntrica vuelve a casa y de mala gana accede a entrenar a un grupo de jóvenes inadaptadas para una competencia.","Sofia Carson,Wolfgang Novogratz,Donna Lynne Champlin","Tras arruinar una audición en Broadway, una bailarina egocéntrica vuelve a casa y de mala gana accede a entrenar a un grupo de jóvenes inadaptadas para una competencia."
Dark,2017,TV de ciencia ficción,https://www.netflix.com/ar/title/80100172,"La desaparición de un niño lleva a cuatro familias a una frenética búsqueda, mientras descubren un misterio que abarca tres generaciones.","Louis Hofmann,Oliver Masucci,Jördis Triebel","La desaparición de un niño lleva a cuatro familias a una frenética búsqueda, mientras descubren un misterio que abarca tres generaciones."
Spenser: Confidencial,2020,Comedias,https://www.netflix.com/ar/title/81005492,"Spenser, un expolicía recién salido de la cárcel, se junta con Hawk, un peso pesado, para desentrañar una conspiración vinculada con la muerte de dos policías de Boston.","Mark Wahlberg,Winston Duke,Alan Arkin","Spenser, un expolicía recién salido de la cárcel, se junta con Hawk, un peso pesado, para desentrañar una conspiración vinculada con la muerte de dos policías de Boston."
Un jefe en pañales: De vuelta a los negocios,2018,Dibujos animados,https://www.netflix.com/ar/title/80178943,Jefe Bebé invita a su hermano mayor Tim a la oficina para enseñarle sobre el arte de los negocios en esta serie animada que reanuda la historia de la exitosa película.,"JP Karliak,Pierce Gagnon,Kevin Michael Richardson",Jefe Bebé invita a su hermano mayor Tim a la oficina para enseñarle sobre el arte de los negocios en esta serie animada que reanuda la historia de la exitosa película.
Academia de cachorros,2020,TV infantil,https://www.netflix.com/ar/title/81040639,Esta banda de amigos peludos y adorables se embarca en una gran aventura: ¡la escuela para los canes más curiosos y apretujables!,"Christian Convery,Don Lake,Chance Hurstfield",Esta banda de amigos peludos y adorables se embarca en una gran aventura: ¡la escuela para los canes más curiosos y apretujables!
Más allá de la Luna,2020,Películas familiares,https://www.netflix.com/ar/title/80214236,"Animada por el recuerdo de su madre, Fei Fei construye un cohete y viaja a nuestro satélite para demostrar que la diosa de la Luna realmente existe.","Cathy Ang,Phillipa Soo,Ken Jeong","Animada por el recuerdo de su madre, Fei Fei construye un cohete y viaja a nuestro satélite para demostrar que la diosa de la Luna realmente existe."
La valla,2020,TV de ciencia ficción,https://www.netflix.com/ar/title/81073507,Una familia lucha por sobrevivir en Madrid en un futuro distópico que retrata la desigualdad entre dos mundos separados por mucho más que una valla.,"Unax Ugalde,Olivia Molina,Eleonora Wexler",Una familia lucha por sobrevivir en Madrid en un futuro distópico que retrata la desigualdad entre dos mundos separados por mucho más que una valla.
Misión de rescate,2020,Películas basadas en libros,https://www.netflix.com/ar/title/80230399,La misión de un aguerrido mercenario se convierte en una introspectiva carrera de supervivencia cuando lo envían a Bangladés a rescatar al hijo de un narco.,"Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda",La misión de un aguerrido mercenario se convierte en una introspectiva carrera de supervivencia cuando lo envían a Bangladés a rescatar al hijo de un narco.
