Name,Year,Type,Gender,Rating,Link,Cast,Directors,Description
Deep Water,2016 ,Serie, Crimen ,No Rating,https://acorn.tv/deepwater/,"Yael Stone,Noah Taylor,Jeremy Lindsay Taylor,Danielle Cormack,Ben Oxenbould","Premio Logie a la Actriz Más Destacada, MÁS","Inspirada en hechos reales, esta miniserie australiana es ""una serie adictiva y electrizante"" (DailyReview.com.au). Dos detectives investigan el brutal asesinato de una joven. Conforme avanza el caso, los detectives descubren vínculos a una serie de asesinatos sin resolver de hombres homosexuales en las décadas de los 80 y los 90."
Ackley Bridge,2017 ,Serie, Comedia dramática ,4.7,https://acorn.tv/ackleybridge/,"Amy‑Leigh Hickman,Poppy Lee Friar,Liz White,Samuel Bottomley,Nohail Nazir Mohammed",26,"From the writers of the BAFTA Best Drama winner Shameless (UK) and BAFTA Best Miniseries winner National Treasure comes this school-based British drama. Ackley Bridge offers a gritty, funny, and truthful look into the daily drama of teachers, teenagers, and families whose lives and cultures collide when two schools are integrated after years of racial segregation in a small Yorkshire town."
Kingdom,2019 ,Serie, Terror ,4.9,https://acorn.tv/kingdom/,"Ju Ji‑hoon,Bae Doona,Jun Ji Hyun,Ryu Seung‑ryong,Kim Hye‑jun",12,"Esta ""encantadora"" (Examiner.com) serie sigue a Peter Kingdom, un abogado compasivo cuya vida es eclipsada por la misteriosa desaparición de su hermano. Fijado en Market Shipborough en la belleza del paisaje de Norfolk, el drama se enfoca en la familia disfuncional de Kingdom, la gente con la que trabaja y los ciudadanos del pueblo."
McCallum,1995 ,Serie, Drama ,No Rating,https://acorn.tv/mccallum/,"John Hannah,Zara Turner,Gerard Murphy,James Saxon,Richard O'Callaghan",ITV,"Valiente y realista, McCallum protagoniza a John Hannah como el patólogo forense el Dr. Iain McCallum."
Babylon,2017 ,Serie, Drama ,4.7,https://acorn.tv/babylon/,"Liv Lisa Fries,Volker Bruch,Leonie Benesch,Lars Eidinger,Mišel Matičević","ARD, Das Erste, Sky 1 Deutschland","From Oscar®-winning director and producer Danny Boyle (Slumdog Millionaire) and the BAFTA-winning writers of Peep Show, this ""fantastic"" (Hollywood Reporter) British drama upends the typical cop show with its cutting take on modern society. James Nesbitt (The Hobbit trilogy) and Brit Marling (The OA) star in a ""darkly satirical comedy about law enforcement and its discontents"" (New York Times)."
Miss Fisher's Murder Mysteries,2012 ,Serie, Misterio ,4.9,https://acorn.tv/missfisher/,"Essie Davis,Nathan Page,Ashleigh Cummings,Hugo Johnstone‑Burt,Travis McMahon","Deb Cox, Fiona Eagger","Este misterio de época elegante y sexy tiene como protagonista a Essie Davis (The Babadook) en el papel de Phryne Fisher, una mujer completamente moderna que opera en un mundo mayoritariamente masculino. Ambientada en la Melbourne de los años 20, la serie sigue a la glamurosa mujer detective mientras realiza su trabajo con una pistola en mano y, la mayoría de las veces, con un admirador masculino aún más cerca."
Line of Duty,2012 ,Serie, Drama ,4.9,https://acorn.tv/lineofduty/,"Martin Compston,Vicky McClure,Adrian Dunbar,Keeley Hawes,Craig Parkinson","BBC, BBC Two, BBC One","Como tantas otras unidades policíacas, AC-12 investiga a criminales - pero los infractores que captura son oficiales de policía en cumplimiento de su deber. Un elenco de primera es la base de esta serie venerada por los críticos, llamada ""de no perderse"" por The Times (Reino Unido)."
The Clinic,2003 ,Serie, Drama ,No Rating,https://acorn.tv/clinic/,"Amy Huberman,Dominic Mafham,Gary Lydon,Aisling O'Sullivan,Chris O'Dowd","Lilie Ferrari, Orla Bleahen-Melvin","Sita en Dublín de hoy en día, este trepidante y contemporáneo drama sigue a un grupo de dedicados profesionales médicos trabajando en una clínica muy concurrida de la ciudad."
Complicit,2013 ,Movie, Drama ,No Rating,https://acorn.tv/complicit/,"David Oyelowo,Arsher Ali,Rupert Procter,Denise Gough,Paul Ritter",Premio de Televisión de la Academia Británica al Mejor Telefilm,"Del aclamado escritor Guy Hibbert (Blood and Oil, Five Minutes of Heaven, Omagh) y con David Oyelowo (Selma, Lincoln) como protagonista, ""Complicit"" es una película impresionante y acelerada que nos da una visión aguda del peligroso mundo del contraterrorismo."
Still Life: A Three Pines Mystery,2013 ,Movie, Misterio,No Rating,https://acorn.tv/stilllife/,"Nathaniel Parker,Kate Hewlett,Anthony Lemke,Gabriel Hogan,Susanna Fournier","Canadian Screen Award al Mejor Actriz Principal en un Programa o Mini-Serie Dramática, MÁS","En este intrigante drama basado en la premiada novela de Louise Penny, un pueblo pintoresco queda aterrado cuando encuentran el cadáver de una maestra muy querida."
Miss Fisher and the Crypt of Tears,2020 ,Movie, Misterio/Aventura ,3.8,https://acorn.tv/cryptoftears/,"Essie Davis,Nathan Page,Ashleigh Cummings,Miriam Margolyes,Hugo Johnstone‑Burt","Kerry Greenwood, Deb Cox","La glamorosa detective Phryne Fisher (Essie Davis, The Babadook) regresa en una secuela cinematográfica de la popular serie de televisión. En 1929, Jerusalén, el rescate de Phryne de una joven beduina la lleva a una aventura de trote por el mundo para descubrir tesoros invaluables, secretos de guerra y una antigua tumba con una terrible maldición, con la ayuda del apuesto detective Jack Robinson (Nathan Page, Underbelly) ."
Sisters of War,2010 ,Movie, 1h 35m,No Rating,https://acorn.tv/sistersofwar/,"Claire van der Boom,Sarah Snook,Susie Porter,Gerald Lepkowski,Paulini","Premio Logie al Mejor Nuevo Talento, MÁS","Mientras la guerra prosigue, un grupo de enfermeras australianas y monjas católicas en una isla del Pacífico se convierten en prisioneras de guerra de los japoneses. Basada en eventos reales, esta fascinante película es una historia de valor, supervivencia, y absolución en una época angustiosa. Con la actuación estelar de Claire van der Boom (""Hawaii Five-O"") y Sarah Snook (""The Glass Castle"") en interpretaciones galardonadas, y con Susie Porter (Janet King)."
Wreckers,2011 ,Movie, Drama ,No Rating,https://acorn.tv/wreckers/,"Claire Foy,Benedict Cumberbatch,Shaun Evans,Peter McDonald,Sinéad Matthews",Inglés,"Oscar® nominee Benedict Cumberbatch (Avengers films) and Golden Globe® winner Claire Foy (The Crown) star in this ""brooding drama of rural disquiet and sexual tension"" (The Guardian). David and Dawn move to his idyllic hometown to start a family, but their marriage begins to fray when his disturbed brother (Shaun Evans, Endeavour) reveals long-buried secrets. ""Intriguing, well-acted"" --Variety."
The Black Velvet Gown,1991 ,Movie, Drama ,No Rating,https://acorn.tv/blackvelvetgown/,"Janet McTeer,Geraldine Somerville,Bob Peck,Jonathan Firth,David Hunt",2 de junio de 1991,"Winner of an International Emmy® for Best Drama and based on the novel by Catherine Cookson, this period drama set in 1830s England portrays the complicated relationship between a mother (Janet McTeer, Albert Nobbs) and daughter (Geraldine Somerville, Gosford Park) as they fight for a better life and challenge the prejudice of their society. ""Compelling adaptation…hook[s] you"" - Los Angeles Times."
United,2011 ,Movie, Drama/Deportes ,No Rating,https://acorn.tv/united/,"Sam Claflin,David Tennant,Dougray Scott,Kate Ashfield,Melanie Hill",Clint Mansell,"Del creador de Broadchurch, este desgarrador e inspirador drama cuenta la historia real del legendario equipo de Manchester United que convirtió la tragedia en triunfo después de un accidente aéreo de 1958 que mató a ocho jugadores. ""Poderoso, cautivador y muy humano"" (The Guardian). Protagonizan David Tennant (Good Omens), Jack O'Connell (Unbroken), Dougray Scott (The Woman in White) y Sam Claflin (las películas de Hunger Games)."
Glorious 39,2009 ,Movie, Bélico/Suspenso ,No Rating,https://acorn.tv/glorious39/,"Romola Garai,Bill Nighy,Eddie Redmayne,Julie Christie,David Tennant",Stephen Poliakoff,"En este thriller de la Segunda Guerra Mundial protagonizado por Bill Nighy, David Tennant y Eddie Redmayne, una joven inglesa (Romola Garai, Emma) encuentra grabaciones ocultas que la llevan al peligro."
The Sum of Us,1994 ,Movie, Romance/Independiente ,No Rating,https://acorn.tv/sumofus/,"Russell Crowe,Jack Thompson,Deborah Kennedy,John Polson,Joss Moroney","Premio AACTA al Mejor Actor Secundario, MÁS","Academy Award® winner Russell Crowe (Gladiator) and Jack Thompson (Breaker Morant) star in this multi-award-winning Australian drama about a widower, Harry, and his gay son, Jeff, both looking for romance. Filled with ""honesty and warmth...a heartfelt script, in-depth characters, and classy performers"" (Variety), this is a witty and poignant social comedy about the triumph of unconditional love."
The Scapegoat,2012 ,Movie, Drama/Drama ,No Rating,https://acorn.tv/scapegoat/,"Matthew Rhys,Andrew Scott,Eileen Atkins,Jodhi May,Anton Lesser",Daphne du Maurier,"Emmy winner® Matthew Rhys (The Americans) stars in this morally complex, darkly comic, and suspenseful film based on the novel by Daphne du Maurier. When unemployed teacher John runs into his doppelgänger, he ends up switching places with the wealthy but wicked Johnny. Also starring Eileen Atkins (Doc Martin), this is ""a fascinating exploration of the dark side of the self"" -Chicago Tribune."
Belonging,2004 ,Movie, Drama ,No Rating,https://acorn.tv/belonging/,"Brenda Blethyn,Kevin Whately,Rosemary Harris,Anna Massey,Peter Sallis",Premio de Televisión de la Academia Británica a la Mejor Actriz Principal,"Leaving North America June 11th. Brenda Blethyn (Vera) and Kevin Whately (Inspector Lewis) are Jess and Jacob Copplestone, a married couple caring for his elderly relatives. But when Jacob leaves her, Jess must adapt to her new life. Based on the acclaimed novel and written by BAFTA winner Alan Plater (The Last of the Blonde Bombshells), this tale of love lost is a tender, perceptive, and humorous portrait of human endurance."
The Lilac Bus,No year,Movie,No genre,No Rating,https://acorn.tv/lilacbus/,No casters,No Directors,"Basado en la novela de Maeve Binchy, este drama irlandés cuenta la historia de siete personas de la villa de Rathdoon quienes viajan cada fin de semana a Dublin, y del conductor del bus lila, quien los lleva a aquel lugar."
The Ballroom Boys,2016 ,Movie, Documental ,No Rating,https://acorn.tv/ballroomboys/,,"Michael Stylianou, Candi Bloxham","En el mundo de la competencia de bailes hay una grave escasez de jóvenes varones bailarines, y hay cientos de chicas haciendo cola por cada chico. Este encantador documental sigue a cuatro de estos escasos chicos, desde una pequeña parte de Gales donde el rugby es el rey para la mayoría de los jóvenes varones, mientras se dirigen a la mayor competencia de sus vidas: los campeonatos del Reino Unido. ""Fascinante y frecuentemente conmovedora"" - The Guardian"
The Man Who Lost His Head,2007 ,Movie, Drama/Comedia ,No Rating,https://acorn.tv/manwholosthead/,"Martin Clunes,John Callen,Gareth Reeves,John Leigh,Nicola Kawana",Eve Gutierrez,"Ian Bennet es un curador del Museo Imperial Británico. El drama sigue su trayectoria de los polvorientos cuartos traseros del museo a los paisajes cautivadores y salvajes de la costa oeste de Nueva Zelanda, donde se ve sobrepasado cuando va en busca de la devolución de un antiguo grabado maorí."
Saving Grace,2000 ,Movie, Comedia/Stoner ,No Rating,https://acorn.tv/savinggrace/,"Brenda Blethyn,Craig Ferguson,Martin Clunes,Mark Crowdy,Tchéky Karyo","Craig Ferguson, Mark Crowdy","Enfrentando la viudez y las grandes deudas, Grace (Brenda Blethyn, Vera) se une a su jardinero (Craig Ferguson, The Late Late Show) para cultivar cannabis en esta encantadora comedia."
The Silence (2006),2006 ,Movie, Suspenso/Novela policíaca ,No Rating,https://acorn.tv/thesilence/,"Richard Roxburgh,Essie Davis,Emily Barclay,Alice McConnell,Damian de Montemas","Mary Walsh, Alice Addison","Tras un evento traumático, suspenden al detective Treloar y lo asignan a un museo, donde debe organizar una exhibición de fotos de escenas de crímenes que sucedieron en los sesenta. Entre esas fotos descubre la de una hermosa víctima de homicidio. La obsesión de Richard por descubrir al asesino abrirá una caja de Pandora que le enseñará la cruda verdad no solo sobre la víctima, también sobre él mismo."
"Goodbye, Mr. Chips",1939 ,Movie, Romance/Drama ,No Rating,https://acorn.tv/goodbyemrchips/,"Robert Donat,Greer Garson,John Mills,Paul Henreid,Terry Kilburn","James Hilton, Claudine West, R. C. Sherriff, Eric Maschwitz","Martin Clunes (Doc Martin) protagoniza la clásica historia de un maestro de buen corazón en una escuela de niños a fines del siglo XIX. Viajando desde el comienzo poco inspirador del Sr. Chips en su profesión a un sorprendente romance, tragedia personal y más allá, este ""lagrimador que afirma la vida, interpretado por un elenco de nivel A"" (Sydney Morning Herald) también está protagonizado por Victoria Hamilton (The Crown) y Conleth Hill (Juego de tronos)."
Anner House,2007 ,Movie, Drama/Romance,No Rating,https://acorn.tv/annerhouse/,"Liam Cunningham,Flora Montgomery,Conor Mullen,Amrain Ismail‑Essop,Ntobeko Rwanda",Tora Young,"Una historia romántica de sueños y aspiraciones. Ambientada en Ciudad del Cabo y basada en una historia corta de Maeve Binchy, Anner House es la historia de Ruth, un emigrante irlandés, y Neil, un irlandés que está luchando por recuperar su vida después del colapso de su matrimonio. La pareja lucha para lidiar con su pasado mientras toman decisiones que cambian su vida sobre su futuro."
Lawless,2012 ,Movie, Crimen/Drama ,4.5,https://acorn.tv/lawless/,"Tom Hardy,Shia LaBeouf,Jessica Chastain,Guy Pearce,Jason Clarke","Annapurna Pictures, Benaroya Pictures, MÁS","En este emocionante thriller cargado de acción, al expolicía y ahora investigador John Lawless (Kevin Smith, Xena: Warrior Princess) lo acusan inesperadamente de un crimen desalmado que, por supuesto no cometió, y, en su desesperación, decide reclutar a sus amigos y contactos, dentro y fuera de la ley, para comprobar su inocencia y poder atrapar a quien resulte responsable. ¿Podrán hacer justicia?"
Golden Years,2016 ,Movie, Comedia/Crimen ,No Rating,https://acorn.tv/goldenyears/,"Bernard Hill,Simon Callow,Virginia McKenna,Una Stubbs,Phil Davis","Bradley Moore, Nick Knowles, Stephen Coates, Andrea Coates, Rowan Constable","La pareja de retirados Arthur (Bernard Hill, ""Wolf Hall,"" la trilogía ""El Señor de los Anillos"") y Martha Goode (Virginia McKenna, ""The Camomile Lawn"") viven una vida tranquila en los suburbios, cuidando de su jardín y socializando con amigos en el club. Pero cuando la crisis financiera de la nación acaba con sus cuantas de pensiones que tanto les costó ahorrar, la pareja aprovecha la oportunidad de reponer sus fondos por medio de robos."
Affinity,2008 ,Movie, Drama/Romance ,No Rating,https://acorn.tv/affinity/,"Anna Madeley,Zoe Tapper,Anne Reid,Amanda Plummer,Domini Blythe","Sarah Waters, Andrew Davies","Adaptada por Andrew Davis (Pride and Prejudice) de la novela de Sarah Waters, este cuento lleno de giros sigue a la joven heredera Margaret Prior (Anne Madeley, Patrick Melrose) mientras hace amistad con la espiritista presa, Selina Dawes (Zoe Tapper, Mr. Selfridge) en el Londrés victoriano. ""Una mezcla cautivadora de romance sáfico y un misterio sobrenatural...actuaciones fuertes y una línea narrativa fascinante"" -- Variety."
Care,No year,Movie,No genre,No Rating,https://acorn.tv/care/,No casters,No Directors,"Una película llena de empatía sobre Jenny, una madre soltera con dos hijos, se las arreglará para cuidar a su mamá quien acaba de sufrir una embolia. Tendrá que luchar contra todo para conseguir la ayuda que su familia necesita y poder salir adelante. Un reflejo de la vida real sobre los menos afortunados que se ven perjudicados con recortes presupuestales."
The Scarlet Pimpernel,1934 ,Movie, Aventura/Drama ,No Rating,https://acorn.tv/scarletpimpernel/,"Leslie Howard,Merle Oberon,Raymond Massey,Anthony Bushell,Nigel Bruce","Emma Orczy, Alexander Korda, Lajos Biró, Arthur Wimperis, Robert Emmet Sherwood, Samuel Nathaniel Behrman","Esta adaptación de la historia de capa y espada de la Baronesa Orczy cuenta con Anthony Andrews (""Brideshead Revisited"") en el papel estelar del elegante joven inglés que oculta su identidad de la aristocracia francesa."
