Name,Year,Type,Gender,Rating,Link,Cast,Directors,Description
Doctor Finlay,1993 ,Serie, Drama ,No Rating,https://acorn.tv/drfinlay/,"David Rintoul,Ian Bannen,Annette Crosbie,Margo Gunn,Gordon Reid",27,"Based on the classic stories by A.J. Cronin, this charming period drama follows Dr. Finlay (David Rintoul, Pride and Prejudice), who returns home after WWII to a rundown medical practice in a Scottish village. There, he confronts small-town politics as he advocates for change. Annette Crosbie (Calendar Girls) and Oscar nominee Ian Bannen (Waking Ned Devine) co-star."
A Music Lover's Guide to Murdoch Mysteries,No year,Serie,No genre,No Rating,https://acorn.tv/murdochmusiclover/,No casters,No Directors,"En este episodio especial y exclusivo, acompaña a la estrella de Murdoch Mysteries, Yannick Bisson, y a la Orquesta Sinfónica de Toronto para disfrutar un concierto detrás de las cámaras en el que un conjunto de renombre mundial tocará para ti la música popular de las eras eduardiana y victoriana. El detective William Murdoch en persona te platicará la historia detrás de cada pieza. ¡No te lo pierdas!"
Ms. Fisher's Modern Murder Mysteries - Coming Soon,No year,Serie,No genre,No Rating,https://acorn.tv/msfishermodernmysteries_cs/,No casters,No Directors,"Series availability varies by country. In this spin-off to the wildly popular Australian mystery series, Phryne Fisher's long-lost niece, Peregrine (Geraldine Hakewill, Wanted), decides to follow in her stylish footsteps as a lady detective for a new era. With the help of the handsome, straitlaced Detective James Steed (Joel Jackson, Peter Allen) and a group of accomplished women, Peregrine investigates murders in 1960s Melbourne."
Bon Voyage,No year,Serie,No genre,5.0,https://acorn.tv/bonvoyage/,"V,Jungkook,Agust D,Jimin,RM",Coreano,"Los planes de una familia británica para vacacionar en el sur de Francia se convierten en la peor pesadilla de un padre cuando se encuentran con una pareja misteriosa que parece estar siguiéndolos. Fay Ripley (Cold Feet), Ben Miles (The Crown), Daniel Ryan (Mount Pleasant) y Rachel Blake (Truth) protagonizan en este misterio tenso y aterrador del director de Orphan Black."
Very Small Business,2008 ,Serie, Comedia ,No Rating,https://acorn.tv/verysmallbusiness/,"Wayne Hope,Robyn Butler,Kim Gyngell,Molly Daniels,Marg Downey","Wayne Hope, Robyn Butler, Gary McCaffrie","Don Angel es un empresario algo turbio y con trastornos de personalidad quien, tras varios negocios fallidos, quiere evitar la ruina de su imperio, pero solo acumula más deudas, sufre de problemas estomacales y su esposa lo deja. Por eso decide buscar el apoyo en Ray Leonard, un periodista célebre, pero con depresión crónica. Nada mejor que un dúo excéntrico para salir adelante."
Chasing Shadows,2014 ,Serie, Drama ,No Rating,https://acorn.tv/chasingshadows/,"Alex Kingston,Reece Shearsmith,Noel Clarke,Alfie Field,Don Warrington",Rob Williams,"Reece Shearsmith interpreta a DS Sean Stone, quien tiene una extraña habilidad para identificar y predecir patrones de comportamiento humano. Él sabe cómo trabaja la gente, pero no los comprende. Alex Kingston (Doctor Who) co-estrellas."
A Difficult Woman,1998 ,Serie, Drama,No Rating,https://acorn.tv/difficultwoman/,"Caroline Goodall,Peter Feeney,Julia Blake,Tara Morice,Anna Lise Phillips","Drama, Película de misterio","En este apasionante misterio australiano, la Dra. Anne Harriman (Caroline Goodall, Schindler's List, Hook) tiene una brillante carrera en patología investigativa trabajando para una compañía farmacéutica internacional. Pero cuando su mejor amiga es asesinada, Anne busca implacablemente al asesino, desafiando a los que están en el poder y arriesgándolo todo para descubrir la verdad."
Agatha Raisin,2014 ,Serie, Misterio ,4.3,https://acorn.tv/agatharaisin/,"Ashley Jensen,Jamie Glover,Mathew Horne,Matt McCooey,Lucy Liemann",Matthew Mulot,"Ashley Jensen protagoniza en este misterio supremo de un pueblo británico basado en los exitosos libros de M.C. Beaton. Para cumplir el sueño de toda una vida, Agatha Raisin se retira a un pueblo pintoresco en los Cotswolds y pronto encuentra una segunda carrera como detective amateur que investiga las travesuras, los disturbios y los asesinatos en este retorcido pueblo."
Britain's Bloody Crown,No year,Serie,No genre,No Rating,https://acorn.tv/britainsbloodycrown/,No casters,No Directors,"Presentado por el galardonado autor/reportero y aclamado historiador Dan Jones (La Dinastía Más Sangrienta de Gran Bretaña), este documental en cuatro partes revela la verdadera historia de La Guerra de las Rosas como nunca antes."
The Other One,2017 ,Serie, Comedia de situación ,4.9,https://acorn.tv/otherone/,"Lauren Socha,Ellie White,Siobhan Finneran,Rebecca Front,Amit Shah","BBC, BBC One","Cuando su marido muere en su fiesta sorpresa, Tess (Rebecca Front, Humans) se lleva una sorpresa aún mayor cuando se entera de que tenía una familia secreta. Ahora ella y su tensa hija, Cathy (Ellie White, The Windsors), deben conocer a la juguetona Marilyn (Siobhan Finneran, Loch Ness) y a su hija, Cat (Lauren Socha, Misfits). ""Muy divertida... y conmovedora exploración del amor, la pena, el perdón y la familia"" (Guardian)."
Vintage Roads: Great and Small,2018 ,Serie, 1 temporada,No Rating,https://acorn.tv/vintageroads/,"Christopher Timothy,Peter Davison,Cuban Chrome,The Yorkshire Vet,Top Gear",23 de octubre de 2018,"Christopher Timothy y Peter Davison, estrellas de All Creatures Great & Small, son los anfitriones de este viaje a la edad de oro del automovilismo. Tras el volante de un coche clásico, emprenden una serie de viajes por carretera a lo largo de hermosas carreteras de época para experimentar las emociones de la época en la que la gente se enamoró por primera vez del automóvil y cuando la carretera abierta era una puerta a la aventura y la exploración."
800 Words,2015 ,Serie, Comedia dramática ,4.8,https://acorn.tv/800words/,"Erik Thomson,Melina Vidler,Benson Jack Anthony,Rick Donald,Anna Jullienne","Logie Award for Most Outstanding Newcomer - Actress, Premio Logie al Actor Más Popular","Este dulce y refrescante drama familiar aclamado como ""maravilloso"" (Tribune NS) sigue la reciente decisión del viudo George Turner de comenzar de nuevo en la ciudad costera de Weld en Nueva Zelanda. Los invasores australianos se convirtieron rápidamente en el centro de atención en esta pequeña ciudad poblada por lugareños extraños y maravillosos."
The Delivery Man,2015 ,Serie, Comedia de situación ,No Rating,https://acorn.tv/deliveryman/,"Darren Boyd,Fay Ripley,Llewella Gideon,Aisling Bea,Alex Macqueen","Victoria Pile, Robert Harley","Esta encantadora dramedia británica la protagoniza Darren Boyd (Fortitude) como Matthew Bunting, un expolicía que se convierte en el primer partero varón en la Unidad de Maternidad de Easthill Park. Co-protagoniza Fay Ripley (Cold Feet)."
Accused,2010 ,Serie, Drama ,No Rating,https://acorn.tv/accused/,"Olivia Colman,Sean Bean,David Blair,Thomas Brodie‑Sangster,Andrew Readman","Jimmy McGovern, Danny Brocklehurst",Esta serie de antología repleta de estrellas sigue a un personaje diferente en cada episodio.
Agatha Christie's Partners in Crime,2015 ,Serie, Drama ,No Rating,https://acorn.tv/partnersincrime/,"Jessica Raine,David Walliams,James Fleet,Matthew Steer,Clarke Peters","El misterio de Sans Souci, El misterioso señor Brown","Basada en las novelas de los bienamados Tommy y Tuppence de Agatha Christie, esta brillante adaptación tiene lugar en Inglaterra durante la guerra fría. Constantemente discutiendo y bromeando, la pareja se encuentra involucrada en una serie de misterios y complots de espionaje."
